index,Customer ID,Gender,Age,Location,EstimatedIncome,Purchased
0,00211,Male,19.0,Rural,22000.0,0
1,00212,Male,35.0,Semi Arban,20000.0,0
2,00213,Female,26.0,Arban,36000.0,0
3,00214,Female,27.0,Rural,57000.0,0
4,00215,Male,19.0,Rural,76000.0,0
5,00216,Male,27.0,Rural,60000.0,1
6,00217,Female,27.0,Rural,84000.0,0
7,00218,Female,32.0,Arban,150000.0,1
8,00219,Male,25.0,Rural,33000.0,1
9,00220,Female,35.0,Rural,65000.0,1
10,00221,Female,26.0,Rural,80000.0,0
11,00222,Female,26.0,Rural,52000.0,0
12,00223,Male,32.0,Rural,86000.0,1
13,00224,Male,32.0,Semi Arban,19000.0,1
14,00225,Male,18.0,Semi Arban,82000.0,1
15,00226,Male,29.0,Semi Arban,80000.0,1
17,00227,Male,47.0,Arban,25000.0,1
18,00228,Male,45.0,Arban,26000.0,1
20,00229,Male,46.0,Arban,28000.0,1
22,00230,Female,48.0,Arban,29000.0,0
23,00231,Male,45.0,Semi Arban,22000.0,1
24,00232,Female,47.0,Semi Arban,49000.0,0
25,00233,Male,32.0,Semi Arban,41000.0,0
26,00234,Female,45.0,Semi Arban,22000.0,0
27,00235,Male,46.0,Arban,23000.0,1
28,00236,Male,47.0,Arban,20000.0,1
29,00237,Male,49.0,Semi Arban,28000.0,1
30,00238,Female,47.0,Rural,30000.0,1
31,00239,Male,29.0,Rural,43000.0,1
32,00240,Male,31.0,Rural,18000.0,0
33,00241,Male,31.0,Rural,74000.0,1
34,00242,Female,27.0,Rural,137000.0,1
35,00243,Female,21.0,Rural,16000.0,0
36,00244,Female,28.0,Rural,44000.0,0
37,00245,Male,27.0,Rural,90000.0,1
38,00246,Male,35.0,Rural,27000.0,0
39,00247,Female,33.0,Rural,28000.0,0
40,00248,Male,32.0,Rural,49000.0,0
41,00249,Female,26.0,Rural,72000.0,0
42,00250,Female,27.0,Rural,31000.0,0
43,00251,Female,27.0,Rural,17000.0,0
44,00252,Female,33.0,Rural,51000.0,0
45,00253,Male,35.0,Rural,108000.0,1
46,00254,Male,30.0,Semi Arban,15000.0,0
47,00255,Female,28.0,Semi Arban,84000.0,0
48,00256,Male,23.0,Semi Arban,20000.0,0
49,00257,Male,25.0,Arban,79000.0,1
50,00258,Female,27.0,Arban,54000.0,0
51,00259,Male,30.0,Arban,135000.0,1
52,00260,Female,31.0,Arban,89000.0,1
53,00261,Female,24.0,Arban,32000.0,1
54,00262,Female,18.0,Arban,44000.0,1
55,00263,Female,32.0,Arban,83000.0,0
56,00264,Female,35.0,Arban,23000.0,1
57,00265,Female,27.0,Arban,58000.0,1
58,00266,Female,24.0,Arban,55000.0,1
59,00267,Female,23.0,Arban,48000.0,1
60,00268,Male,28.0,Rural,79000.0,1
61,00269,Male,22.0,Rural,18000.0,0
62,00270,Female,32.0,Rural,117000.0,1
63,00271,Male,27.0,Rural,20000.0,0
64,00272,Male,25.0,Rural,87000.0,1
65,00273,Female,23.0,Rural,66000.0,0
66,00274,Male,32.0,Semi Arban,120000.0,1
67,00275,Female,32.0,Rural,83000.0,0
68,00276,Male,24.0,Rural,58000.0,1
69,00277,Male,24.0,Rural,19000.0,0
70,00278,Female,23.0,Rural,82000.0,1
71,00279,Female,22.0,Rural,63000.0,1
72,00280,Female,31.0,Semi Arban,68000.0,0
73,00281,Male,25.0,Semi Arban,80000.0,0
74,00282,Female,24.0,Semi Arban,27000.0,0
75,00283,Female,20.0,Semi Arban,23000.0,0
76,00284,Female,33.0,Semi Arban,113000.0,1
77,00285,Male,32.0,Semi Arban,18000.0,0
78,00286,Male,34.0,Arban,112000.0,1
79,00287,Male,18.0,Arban,52000.0,0
80,00288,Female,22.0,Arban,27000.0,0
81,00289,Female,32.0,Arban,87000.0,0
82,00290,Female,26.0,Arban,17000.0,0
83,00291,Male,30.0,Arban,80000.0,1
84,00292,Male,39.0,Arban,42000.0,1
85,00293,Male,20.0,Arban,49000.0,0
86,00294,Male,35.0,Arban,88000.0,1
87,00295,Female,30.0,Arban,62000.0,1
88,00296,Female,31.0,Arban,118000.0,1
89,00297,Male,24.0,Semi Arban,55000.0,1
90,00298,Female,28.0,Semi Arban,85000.0,1
91,00299,Male,26.0,Semi Arban,81000.0,1
92,00300,Male,35.0,Semi Arban,50000.0,1
93,00301,Male,22.0,Semi Arban,81000.0,1
94,00302,Female,32.0,Rural,116000.0,0
95,00303,Male,26.0,Rural,15000.0,0
96,00304,Female,29.0,Rural,28000.0,0
97,00305,Female,29.0,Rural,83000.0,1
